chosen_class,game_time,level,session_id,timestamp
Wizard,136.46499999999907,12,1776432838,1776432984.6293373
Archer,157.683999999991,11,1776433657,1776433818.9081736
Wizard,159.1109999999892,13,1776435068,1776435238.2211952
Archer,134.6919999999988,13,1776453216,1776453361.369699
Knight,140.1049999999965,12,1776453724,1776453866.6052341
Wizard,161.02599999998904,11,1776453882,1776454045.7780306
Wizard,164.26499999998939,12,1776454906,1776455075.0595036
Archer,208.94399999997165,12,kantee,1776456081,1776456305.757839
